#Dirchilet BC  (from fault_mech_DEFORMATION_BC_ST.asc.bc file) 
#Total BC nodes  291
#Node index, name, x, y, z,   value: 
0  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.000000000000e+02 0.000000000000e+00
1  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.200000033858e+02 0.000000000000e+00
2  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.400000067716e+02 0.000000000000e+00
3  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.600000101574e+02 0.000000000000e+00
4  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.800000135432e+02 0.000000000000e+00
5  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.000000169290e+02 0.000000000000e+00
6  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.200000203148e+02 0.000000000000e+00
7  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.400000237006e+02 0.000000000000e+00
8  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.600000270864e+02 0.000000000000e+00
9  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.800000304722e+02 0.000000000000e+00
10  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.000000338580e+02 0.000000000000e+00
824  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.200347369603e+02 0.000000000000e+00
825  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.400694400626e+02 0.000000000000e+00
826  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.601041431649e+02 0.000000000000e+00
827  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.801388462673e+02 0.000000000000e+00
828  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.001735493696e+02 0.000000000000e+00
829  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.202082524719e+02 0.000000000000e+00
830  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.402429555742e+02 0.000000000000e+00
831  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.602776586765e+02 0.000000000000e+00
832  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.803123617788e+02 0.000000000000e+00
833  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.003470648812e+02 0.000000000000e+00
1475  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.205757937067e+02 0.000000000000e+00
1476  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.408045225322e+02 0.000000000000e+00
1477  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.610332513578e+02 0.000000000000e+00
1478  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.812619801833e+02 0.000000000000e+00
1479  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.014907090089e+02 0.000000000000e+00
1575  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.211691642851e+02 0.000000000000e+00
1576  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.408476195614e+02 0.000000000000e+00
1577  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.605260748376e+02 0.000000000000e+00
1578  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.802045301139e+02 0.000000000000e+00
1579  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.998829853901e+02 0.000000000000e+00
1580  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.195614406664e+02 0.000000000000e+00
1581  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.392398959426e+02 0.000000000000e+00
1582  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.589183512189e+02 0.000000000000e+00
1583  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.785968064951e+02 0.000000000000e+00
1584  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.982752617714e+02 0.000000000000e+00
1723  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.018447735594e+03 0.000000000000e+00
1724  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.038620209417e+03 0.000000000000e+00
1725  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.058792683240e+03 0.000000000000e+00
1726  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.078965157063e+03 0.000000000000e+00
1727  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.099137630886e+03 0.000000000000e+00
1728  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.119310104709e+03 0.000000000000e+00
1729  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.139482578531e+03 0.000000000000e+00
1730  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.159655052354e+03 0.000000000000e+00
1731  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.179827526177e+03 0.000000000000e+00
1732  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.200000000000e+03 0.000000000000e+00
4250  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.100000016929e+02 0.000000000000e+00
4257  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.900000321651e+02 0.000000000000e+00
4302  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.300000050787e+02 0.000000000000e+00
4305  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.700000287793e+02 0.000000000000e+00
4901  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.500000084645e+02 0.000000000000e+00
4905  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.700000118503e+02 0.000000000000e+00
4909  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -3.900000152361e+02 0.000000000000e+00
4913  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.100000186219e+02 0.000000000000e+00
4917  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.300000220077e+02 0.000000000000e+00
4921  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -4.500000253935e+02 0.000000000000e+00
6660  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.100173854091e+02 0.000000000000e+00
6662  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.903297133300e+02 0.000000000000e+00
6686  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.702950102277e+02 0.000000000000e+00
6693  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.300520885115e+02 0.000000000000e+00
7011  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.502603071254e+02 0.000000000000e+00
7016  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.302256040231e+02 0.000000000000e+00
7020  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -6.101909009207e+02 0.000000000000e+00
7024  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.901561978184e+02 0.000000000000e+00
7028  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.701214947161e+02 0.000000000000e+00
7032  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -5.500867916138e+02 0.000000000000e+00
8803  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.104614292939e+02 0.000000000000e+00
8805  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.913763445961e+02 0.000000000000e+00
8829  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.711476157706e+02 0.000000000000e+00
8836  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.306901581195e+02 0.000000000000e+00
8968  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -7.509188869450e+02 0.000000000000e+00
9131  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.884360341333e+02 0.000000000000e+00
9138  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.113299366470e+02 0.000000000000e+00
9149  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.687575788570e+02 0.000000000000e+00
9160  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.310083919232e+02 0.000000000000e+00
9351  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.490791235808e+02 0.000000000000e+00
9355  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.294006683045e+02 0.000000000000e+00
9359  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -9.097222130283e+02 0.000000000000e+00
9363  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.900437577520e+02 0.000000000000e+00
9367  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.703653024758e+02 0.000000000000e+00
9371  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -8.506868471995e+02 0.000000000000e+00
9636  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.189913763089e+03 0.000000000000e+00
9643  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.008361498683e+03 0.000000000000e+00
9660  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.169741289266e+03 0.000000000000e+00
9671  DISPLACEMENT_X1 0.000000000000e+00 0.000000000000e+00 -1.028533972506e+03 0.000000000000e+00
