#Dirchilet BC  (from fault_mech_LIQUID_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  231
#Node index, name, x, y, z,   value: 
833   0.000000000000e+00 0.000000000000e+00 -7.003470648812e+02 1.000000000000e+08
834   1.932252394982e+01 0.000000000000e+00 -7.003471697216e+02 1.000000000000e+08
835   3.864504789963e+01 0.000000000000e+00 -7.003472745620e+02 1.000000000000e+08
836   5.796757184945e+01 0.000000000000e+00 -7.003473794025e+02 1.000000000000e+08
837   7.729009579927e+01 0.000000000000e+00 -7.003474842429e+02 1.000000000000e+08
838   9.661261974908e+01 0.000000000000e+00 -7.003475890834e+02 1.000000000000e+08
839   1.159351436989e+02 0.000000000000e+00 -7.003476939238e+02 1.000000000000e+08
840   1.352576676487e+02 0.000000000000e+00 -7.003477987642e+02 1.000000000000e+08
841   1.545801915985e+02 0.000000000000e+00 -7.003479036047e+02 1.000000000000e+08
842   1.739027155483e+02 0.000000000000e+00 -7.003480084451e+02 1.000000000000e+08
843   1.932252394982e+02 0.000000000000e+00 -7.003481132855e+02 1.000000000000e+08
844   2.125477634480e+02 0.000000000000e+00 -7.003482181260e+02 1.000000000000e+08
845   2.318702873978e+02 0.000000000000e+00 -7.003483229664e+02 1.000000000000e+08
846   2.511928113476e+02 0.000000000000e+00 -7.003484278068e+02 1.000000000000e+08
847   2.705153352974e+02 0.000000000000e+00 -7.003485326473e+02 1.000000000000e+08
848   2.898378592472e+02 0.000000000000e+00 -7.003486374877e+02 1.000000000000e+08
1038   2.862709814527e+02 0.000000000000e+00 -7.205774427048e+02 1.000000000000e+08
1039   2.827041036581e+02 0.000000000000e+00 -7.408062479219e+02 1.000000000000e+08
1040   2.791372258635e+02 0.000000000000e+00 -7.610350531390e+02 1.000000000000e+08
1041   2.755703480689e+02 0.000000000000e+00 -7.812638583561e+02 1.000000000000e+08
1042   2.720034702743e+02 0.000000000000e+00 -8.014926635732e+02 1.000000000000e+08
1475   0.000000000000e+00 0.000000000000e+00 -7.205757937067e+02 1.000000000000e+08
1476   0.000000000000e+00 0.000000000000e+00 -7.408045225322e+02 1.000000000000e+08
1477   0.000000000000e+00 0.000000000000e+00 -7.610332513578e+02 1.000000000000e+08
1478   0.000000000000e+00 0.000000000000e+00 -7.812619801833e+02 1.000000000000e+08
1479   0.000000000000e+00 0.000000000000e+00 -8.014907090089e+02 1.000000000000e+08
1480   1.942881930531e+01 0.000000000000e+00 -8.014908486206e+02 1.000000000000e+08
1481   3.885763861062e+01 0.000000000000e+00 -8.014909882324e+02 1.000000000000e+08
1482   5.828645791593e+01 0.000000000000e+00 -8.014911278441e+02 1.000000000000e+08
1483   7.771527722124e+01 0.000000000000e+00 -8.014912674558e+02 1.000000000000e+08
1484   9.714409652655e+01 0.000000000000e+00 -8.014914070676e+02 1.000000000000e+08
1485   1.165729158319e+02 0.000000000000e+00 -8.014915466793e+02 1.000000000000e+08
1486   1.360017351372e+02 0.000000000000e+00 -8.014916862910e+02 1.000000000000e+08
1487   1.554305544425e+02 0.000000000000e+00 -8.014918259028e+02 1.000000000000e+08
1488   1.748593737478e+02 0.000000000000e+00 -8.014919655145e+02 1.000000000000e+08
1489   1.942881930531e+02 0.000000000000e+00 -8.014921051263e+02 1.000000000000e+08
1490   2.137170123584e+02 0.000000000000e+00 -8.014922447380e+02 1.000000000000e+08
1491   2.331458316637e+02 0.000000000000e+00 -8.014923843497e+02 1.000000000000e+08
1492   2.525746509690e+02 0.000000000000e+00 -8.014925239615e+02 1.000000000000e+08
1493   1.294913608755e+01 0.000000000000e+00 -7.136697242010e+02 1.000000000000e+08
1494   1.297043526099e+01 0.000000000000e+00 -7.884031158560e+02 1.000000000000e+08
1495   2.590050691822e+02 0.000000000000e+00 -7.856829074490e+02 1.000000000000e+08
1496   2.905952676118e+01 0.000000000000e+00 -7.167954138277e+02 1.000000000000e+08
1497   2.907090601332e+01 0.000000000000e+00 -7.856104770841e+02 1.000000000000e+08
1498   2.422984035036e+02 0.000000000000e+00 -7.867756187700e+02 1.000000000000e+08
1499   1.639295361129e+01 0.000000000000e+00 -7.721139154786e+02 1.000000000000e+08
1500   1.640671070882e+01 0.000000000000e+00 -7.302416422849e+02 1.000000000000e+08
1501   2.622904423189e+02 0.000000000000e+00 -7.686041345736e+02 1.000000000000e+08
1502   2.492827711462e+02 0.000000000000e+00 -7.745293667892e+02 1.000000000000e+08
1503   2.244979173135e+02 0.000000000000e+00 -7.858008015778e+02 1.000000000000e+08
1504   2.352372049287e+02 0.000000000000e+00 -7.717408000520e+02 1.000000000000e+08
1505   2.052056238953e+02 0.000000000000e+00 -7.845573142447e+02 1.000000000000e+08
1506   1.851286585702e+02 0.000000000000e+00 -7.843068192311e+02 1.000000000000e+08
