ElementID, VELOCITY1_X, VELOCITY1_Y, VELOCITY1_Z
0, 2.716357509295e-16, -1.414213677236e-03, 1.414213447517e-03
1, -1.164153218269e-16, -1.414213677234e-03, 1.414213447516e-03
2, -7.761021455129e-17, -1.414213677235e-03, 1.414213447516e-03
3, -3.880510727564e-17, -1.414213677235e-03, 1.414213447517e-03
4, 7.761021455129e-17, -1.414213677236e-03, 1.414213447517e-03
5, 1.707424720128e-15, -1.414213677230e-03, 1.414213447511e-03
6, -1.164153218269e-15, -1.414213677232e-03, 1.414213447513e-03
7, -2.716357509295e-16, -1.414213677232e-03, 1.414213447513e-03
8, -5.432715018590e-16, -1.414213677232e-03, 1.414213447513e-03
9, 6.596868236860e-16, -1.414213677232e-03, 1.414213447514e-03
10, -1.668619612853e-15, -1.414213677240e-03, 1.414213447521e-03
11, -9.701276818911e-16, -1.414213677238e-03, 1.414213447520e-03
12, 2.716357509295e-16, -1.414213677237e-03, 1.414213447518e-03
13, -1.319373647372e-15, -1.414213677238e-03, 1.414213447519e-03
14, 4.656612873077e-16, -1.414213677237e-03, 1.414213447518e-03
15, 1.164153218269e-16, -1.414213677229e-03, 1.414213447510e-03
16, 7.761021455129e-16, -1.414213677229e-03, 1.414213447510e-03
17, -3.880510727564e-16, -1.414213677230e-03, 1.414213447511e-03
18, -6.208817164103e-16, -1.414213677229e-03, 1.414213447511e-03
19, 5.820766091347e-16, -1.414213677229e-03, 1.414213447511e-03
20, 1.940255363782e-16, -1.414213677230e-03, 1.414213447511e-03
21, -1.940255363782e-16, -1.414213677229e-03, 1.414213447511e-03
22, -1.164153218269e-16, -1.414213677229e-03, 1.414213447510e-03
23, -3.104408582052e-16, -1.414213677229e-03, 1.414213447510e-03
24, -7.761021455129e-17, -1.414213677229e-03, 1.414213447510e-03
