NodeID, PRESSURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRAIN_XX, STRAIN_YY, STRAIN_XY
0, 0.000000000000e+00, -1.662063978974e-05, 0.000000000000e+00, -4.748289939016e-08, -2.739000137808e-08, -1.871859467428e-08, 3.510723442631e-09, -1.438222239768e-18, -4.335882672232e-19, 3.510723442631e-19
1, 4.972399113426e+04, -1.657920313046e-05, 0.000000000000e+00, 4.972399113428e+04, 1.657466371143e+04, 1.657466371143e+04, -3.624025579002e-09, 1.657466371143e-06, 2.610535619408e-20, -3.624025579002e-19
2, 9.945212590278e+04, -1.645488969960e-05, 0.000000000000e+00, 9.945212590275e+04, 3.315070863426e+04, 3.315070863425e+04, -8.805498550740e-10, 3.315070863425e-06, 2.033234715643e-19, -8.805498550740e-20
3, 1.491885482870e+05, -1.624768913777e-05, 0.000000000000e+00, 1.491885482870e+05, 4.972951609568e+04, 4.972951609568e+04, -3.584588477314e-09, 4.972951609568e-06, -4.250118912315e-20, -3.584588477314e-19
4, 1.989374029630e+05, -1.595758417840e-05, 0.000000000000e+00, 1.989374029630e+05, 6.631246765432e+04, 6.631246765432e+04, 4.872661892982e-11, 6.631246765432e-06, 7.731977164136e-20, 4.872661892982e-21
5, 2.487028356481e+05, -1.558455064622e-05, 0.000000000000e+00, 2.487028356482e+05, 8.290094521605e+04, 8.290094521606e+04, -4.871714147070e-09, 8.290094521606e-06, -4.074712144559e-20, -4.871714147070e-19
6, 2.984889934491e+05, -1.512855745531e-05, 0.000000000000e+00, 2.984889934491e+05, 9.949633114970e+04, 9.949633114969e+04, -5.922853454546e-10, 9.949633114969e-06, 2.360149466606e-19, -5.922853454546e-20
7, 3.483000252083e+05, -1.458956660642e-05, 0.000000000000e+00, 3.483000252083e+05, 1.161000084028e+05, 1.161000084028e+05, -5.475475470190e-09, 1.161000084028e-05, -2.100092747589e-19, -5.475475470190e-19
8, 3.981400818519e+05, -1.396753318387e-05, 0.000000000000e+00, 3.981400818519e+05, 1.327133606173e+05, 1.327133606173e+05, -5.149231499165e-09, 1.327133606173e-05, 9.628737679255e-20, -5.149231499165e-19
9, 4.480133167361e+05, -1.326240535172e-05, 0.000000000000e+00, 4.480133167361e+05, 1.493377722454e+05, 1.493377722454e+05, 4.870256506788e-09, 1.493377722454e-05, 3.901372701757e-19, 4.870256506788e-19
10, 4.979238859954e+05, -1.247412434944e-05, 0.000000000000e+00, 4.979238859954e+05, 1.659746286651e+05, 1.659746286651e+05, 1.587858733549e-08, 1.659746286651e-05, -4.684827047216e-19, 1.587858733549e-18
11, 5.478759488889e+05, -1.160262448704e-05, 0.000000000000e+00, 5.478759488889e+05, 1.826253162963e+05, 1.826253162963e+05, 1.153676947686e-08, 1.826253162963e-05, 2.198924383646e-19, 1.153676947686e-18
12, 5.978736681481e+05, -1.064783313951e-05, 0.000000000000e+00, 5.978736681482e+05, 1.992912227161e+05, 1.992912227161e+05, 8.652030492540e-09, 1.992912227161e-05, 4.630265451247e-19, 8.652030492540e-19
13, 6.479212103241e+05, -9.609670740780e-06, 0.000000000000e+00, 6.479212103241e+05, 2.159737367747e+05, 2.159737367747e+05, -1.179925932288e-09, 2.159737367747e-05, -6.486188750450e-20, -1.179925932288e-19
14, 6.980227461343e+05, -8.488050777065e-06, 0.000000000000e+00, 6.980227461343e+05, 2.326742487114e+05, 2.326742487114e+05, -2.635547166319e-09, 2.326742487114e-05, -3.334452836024e-19, -2.635547166319e-19
15, 7.481824508102e+05, -7.282879779611e-06, 0.000000000000e+00, 7.481824508103e+05, 2.493941502701e+05, 2.493941502701e+05, -7.334485400564e-09, 2.493941502701e-05, 4.658287232433e-19, -7.334485400564e-19
16, 7.984045044444e+05, -5.994057316899e-06, 0.000000000000e+00, 7.984045044445e+05, 2.661348348148e+05, 2.661348348148e+05, 5.446831812174e-09, 2.661348348148e-05, -2.432665117067e-20, 5.446831812174e-19
17, 8.486930923380e+05, -4.621475986246e-06, 0.000000000000e+00, 8.486930923380e+05, 2.828976974460e+05, 2.828976974460e+05, 1.417436424516e-09, 2.828976974460e-05, -7.352108014096e-20, 1.417436424516e-19
18, 8.990524053472e+05, -3.165021404842e-06, 0.000000000000e+00, 8.990524053473e+05, 2.996841351158e+05, 2.996841351158e+05, -5.108949861967e-10, 2.996841351158e-05, 1.811586367817e-19, -5.108949861967e-20
19, 9.494866402315e+05, -1.624572200193e-06, 0.000000000000e+00, 9.494866402315e+05, 3.164955467438e+05, 3.164955467438e+05, -1.348032364000e-08, 3.164955467438e-05, -3.834256887912e-19, -1.348032364000e-18
20, 1.000000000000e+06, 0.000000000000e+00, 0.000000000000e+00, 1.000000000000e+06, 3.333333333334e+05, 3.333333333334e+05, 1.330206872149e-09, 3.333333333333e-05, 2.842401894127e-19, 1.330206872149e-19
21, 0.000000000000e+00, -1.662063978974e-05, -1.358127922231e-20, -1.658418113948e-08, -6.189480927787e-09, -5.693351567970e-09, -6.563957991226e-09, -5.445065274641e-19, -2.481502093547e-20, -6.563957991226e-19
22, 4.972399113426e+04, -1.657920313046e-05, -1.992654130525e-22, 4.972399113425e+04, 1.657466371142e+04, 1.657466371142e+04, -1.162320371942e-08, 1.657466371142e-06, 1.735709916415e-20, -1.162320371942e-18
23, 9.945212590278e+04, -1.645488969960e-05, 2.949728613353e-21, 9.945212590278e+04, 3.315070863426e+04, 3.315070863426e+04, -4.331753235103e-09, 3.315070863426e-06, 4.558697716986e-20, -4.331753235103e-19
24, 1.491885482870e+05, -1.624768913777e-05, 2.998860048433e-21, 1.491885482870e+05, 4.972951609568e+04, 4.972951609568e+04, -3.373422406865e-09, 4.972951609568e-06, -2.246632220093e-20, -3.373422406865e-19
25, 1.989374029630e+05, -1.595758417840e-05, -9.614182292231e-22, 1.989374029629e+05, 6.631246765432e+04, 6.631246765432e+04, -3.421466491802e-09, 6.631246765432e-06, -1.737378733770e-20, -3.421466491802e-19
26, 2.487028356481e+05, -1.558455064622e-05, -1.613914665059e-21, 2.487028356482e+05, 8.290094521605e+04, 8.290094521605e+04, -1.134750841768e-09, 8.290094521605e-06, -2.937829124674e-21, -1.134750841768e-19
27, 2.984889934491e+05, -1.512855745531e-05, -2.016853541172e-21, 2.984889934491e+05, 9.949633114969e+04, 9.949633114969e+04, -3.622249814797e-09, 9.949633114969e-06, -2.009663350275e-20, -3.622249814797e-19
28, 3.483000252083e+05, -1.458956660642e-05, 8.556702077703e-21, 3.483000252084e+05, 1.161000084028e+05, 1.161000084028e+05, -4.654445677718e-09, 1.161000084028e-05, -4.287716546116e-20, -4.654445677718e-19
29, 3.981400818519e+05, -1.396753318387e-05, -4.712111663661e-22, 3.981400818519e+05, 1.327133606173e+05, 1.327133606173e+05, -2.903728715024e-09, 1.327133606173e-05, -1.649917681245e-20, -2.903728715024e-19
30, 4.480133167361e+05, -1.326240535172e-05, -8.181652450049e-21, 4.480133167361e+05, 1.493377722454e+05, 1.493377722454e+05, 7.934330785203e-10, 1.493377722454e-05, 3.403238050850e-21, 7.934330785203e-20
31, 4.979238859954e+05, -1.247412434944e-05, 9.067979278182e-21, 4.979238859954e+05, 1.659746286651e+05, 1.659746286651e+05, -1.313311029573e-09, 1.659746286651e-05, 3.292514438616e-21, -1.313311029573e-19
