NodeID, PRESSURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1
0, 8.000000000000e+05, 0.000000000000e+00, 0.000000000000e+00
1, 8.000000000000e+05, 9.999999999998e-06, 0.000000000000e+00
2, 8.000000000000e+05, 2.000000000000e-05, 0.000000000000e+00
3, 8.000000000000e+05, 3.000000000000e-05, 0.000000000000e+00
4, 8.000000000000e+05, 4.000000000000e-05, 0.000000000000e+00
5, 8.000000000000e+05, 5.000000000000e-05, 0.000000000000e+00
6, 8.000000000000e+05, 0.000000000000e+00, 9.999999999998e-06
7, 8.000000000000e+05, 1.000000000000e-05, 1.000000000000e-05
8, 8.000000000000e+05, 2.000000000000e-05, 1.000000000000e-05
9, 8.000000000000e+05, 3.000000000000e-05, 9.999999999999e-06
10, 8.000000000000e+05, 4.000000000000e-05, 1.000000000000e-05
11, 8.000000000000e+05, 5.000000000000e-05, 9.999999999999e-06
12, 8.000000000000e+05, 0.000000000000e+00, 2.000000000000e-05
13, 8.000000000000e+05, 1.000000000000e-05, 2.000000000000e-05
14, 8.000000000000e+05, 2.000000000000e-05, 2.000000000000e-05
15, 8.000000000000e+05, 3.000000000000e-05, 2.000000000000e-05
16, 8.000000000000e+05, 4.000000000000e-05, 2.000000000000e-05
17, 8.000000000000e+05, 5.000000000000e-05, 2.000000000000e-05
18, 8.000000000000e+05, 0.000000000000e+00, 3.000000000000e-05
19, 8.000000000000e+05, 9.999999999999e-06, 3.000000000000e-05
20, 8.000000000000e+05, 2.000000000000e-05, 3.000000000000e-05
21, 8.000000000000e+05, 3.000000000000e-05, 3.000000000000e-05
22, 8.000000000000e+05, 4.000000000000e-05, 3.000000000000e-05
23, 8.000000000000e+05, 5.000000000000e-05, 3.000000000000e-05
24, 8.000000000000e+05, 0.000000000000e+00, 4.000000000000e-05
25, 8.000000000000e+05, 1.000000000000e-05, 4.000000000000e-05
26, 8.000000000000e+05, 2.000000000000e-05, 4.000000000000e-05
27, 8.000000000000e+05, 3.000000000000e-05, 4.000000000000e-05
28, 8.000000000000e+05, 4.000000000000e-05, 4.000000000000e-05
29, 8.000000000000e+05, 5.000000000000e-05, 4.000000000000e-05
30, 8.000000000000e+05, 0.000000000000e+00, 5.000000000000e-05
31, 8.000000000000e+05, 9.999999999999e-06, 5.000000000000e-05
32, 8.000000000000e+05, 2.000000000000e-05, 5.000000000000e-05
33, 8.000000000000e+05, 3.000000000000e-05, 5.000000000000e-05
34, 8.000000000000e+05, 4.000000000000e-05, 5.000000000000e-05
35, 8.000000000000e+05, 5.000000000000e-05, 5.000000000000e-05
