NodeID, PRESSURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRESS_XZ, STRESS_YZ, STRAIN_XX, STRAIN_YY, STRAIN_ZZ, STRAIN_XY, STRAIN_XZ, STRAIN_YZ
0, 2.000000000000e+07, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.000000000000e+07, 2.000000000001e+07, 2.000000000000e+07, -9.609923694675e-08, -4.226183999096e-08, -6.150607817633e-08, 1.000000000000e-03, 1.000000000000e-03, 1.000000000000e-03, -2.402480923669e-17, -1.056545999774e-17, -1.537651954408e-17
1, 2.000000000000e+07, 2.500000000000e-04, 0.000000000000e+00, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -9.921066175441e-07, -6.894422868355e-07, -3.659202389038e-07, 1.000000000000e-03, 1.000000000000e-03, 1.000000000000e-03, -2.480266543860e-16, -1.723605717089e-16, -9.148005972594e-17
2, 2.000000000000e+07, 5.000000000000e-04, 0.000000000000e+00, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 2.986962974059e-07, 8.295467653399e-07, -5.920656924467e-08, 1.000000000000e-03, 1.000000000000e-03, 1.000000000000e-03, 7.467407435147e-17, 2.073866913350e-16, -1.480164231117e-17
3, 2.000000000000e+07, 7.499999999999e-04, 0.000000000000e+00, 0.000000000000e+00, 1.999999999999e+07, 2.000000000000e+07, 2.000000000000e+07, 1.865574453314e-06, 2.313626562095e-06, -4.509436733711e-07, 9.999999999992e-04, 1.000000000000e-03, 1.000000000000e-03, 4.663936133285e-16, 5.784066405238e-16, -1.127359183428e-16
4, 2.000000000000e+07, 9.999999999998e-04, 0.000000000000e+00, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 5.796234617078e-06, 6.088996200478e-06, 2.477126170932e-08, 9.999999999999e-04, 9.999999999997e-04, 9.999999999999e-04, 1.449058654269e-15, 1.522249050120e-15, 6.192815427329e-18
5, 2.000000000000e+07, 0.000000000000e+00, 2.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -1.013003070175e-07, -3.402841654540e-07, 6.911410661760e-08, 1.000000000000e-03, 1.000000000000e-03, 9.999999999999e-04, -2.532507675437e-17, -8.507104136351e-17, 1.727852665440e-17
6, 2.000000000000e+07, 2.500000000000e-04, 2.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 1.999999999999e+07, 9.339659046929e-07, 1.002980925393e-07, 8.500803409439e-07, 1.000000000000e-03, 1.000000000000e-03, 9.999999999995e-04, 2.334914761732e-16, 2.507452313483e-17, 2.125200852360e-16
7, 2.000000000000e+07, 5.000000000000e-04, 2.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -9.676700972822e-07, -2.623318934527e-07, -3.993451625968e-07, 9.999999999998e-04, 1.000000000000e-03, 1.000000000000e-03, -2.419175243205e-16, -6.558297336318e-17, -9.983629064921e-17
8, 2.000000000000e+07, 7.500000000000e-04, 2.500000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 9.926038652448e-07, -1.721332831042e-06, 1.234670886799e-06, 1.000000000000e-03, 9.999999999998e-04, 9.999999999999e-04, 2.481509663112e-16, -4.303332077605e-16, 3.086677216997e-16
9, 2.000000000000e+07, 9.999999999999e-04, 2.499999999999e-04, 0.000000000000e+00, 1.999999999999e+07, 2.000000000000e+07, 2.000000000000e+07, -1.994654207673e-06, 1.893008504038e-06, 7.105183025781e-07, 9.999999999994e-04, 1.000000000000e-03, 1.000000000000e-03, -4.986635519182e-16, 4.732521260096e-16, 1.776295756445e-16
10, 2.000000000000e+07, 0.000000000000e+00, 5.000000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 7.583197572823e-07, -4.754195771783e-08, 1.044640617567e-06, 1.000000000000e-03, 9.999999999999e-04, 1.000000000000e-03, 1.895799393206e-16, -1.188548942946e-17, 2.611601543917e-16
11, 2.000000000000e+07, 2.500000000000e-04, 5.000000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, -6.780542602786e-07, -8.038452143350e-07, 3.814310602647e-08, 9.999999999999e-04, 9.999999999997e-04, 1.000000000000e-03, -1.695135650697e-16, -2.009613035837e-16, 9.535776506618e-18
12, 2.000000000000e+07, 5.000000000000e-04, 5.000000000000e-04, 0.000000000000e+00, 2.000000000000e+07, 2.000000000000e+07, 2.000000000000e+07, 2.430893741667e-07, -8.971504829391e-07, -5.630301559035e-07, 1.000000000000e-03, 9.999999999999e-04, 9.999999999999e-04, 6.077234354167e-17, -2.242876207348e-16, -1.407575389759e-16
