"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
5.000000000000e-01, 5.000000000000e+01, 0.000000000000e+00, 0.000000000000e+00, 5.000000000000e+01, 1.250000000000e+01, 1.250000000000e+01, -2.392922069843e-14, 4.500000000000e-08, 1.522965128842e-22, -5.743012967624e-23
1.000000000000e+00, 1.000000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 1.000000000000e+02, 2.500000000000e+01, 2.500000000000e+01, -4.874834604596e-14, 9.000000000000e-08, 3.153621734770e-22, -1.169960305103e-22
1.500000000000e+00, 1.500000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 1.500000000000e+02, 3.750000000000e+01, 3.750000000000e+01, -7.904958776620e-14, 1.350000000000e-07, 4.652423397344e-22, -1.897190106389e-22
2.000000000000e+00, 2.000000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 2.000000000000e+02, 5.000000000000e+01, 5.000000000000e+01, -8.962653175735e-14, 1.800000000000e-07, 6.413595167011e-22, -2.151036762176e-22
2.500000000000e+00, 2.500000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 2.500000000000e+02, 6.250000000000e+01, 6.250000000000e+01, -1.098316744027e-13, 2.250000000000e-07, 7.330055745711e-22, -2.635960185665e-22
3.000000000000e+00, 3.000000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 3.000000000000e+02, 7.500000000000e+01, 7.500000000000e+01, -1.604770402755e-13, 2.700000000000e-07, 8.862671919654e-22, -3.851448966613e-22
3.500000000000e+00, 3.500000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 3.500000000000e+02, 8.750000000000e+01, 8.750000000000e+01, -1.426418775844e-13, 3.150000000000e-07, 1.099975627722e-21, -3.423405062026e-22
4.000000000000e+00, 4.000000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 4.000000000000e+02, 1.000000000000e+02, 1.000000000000e+02, -1.960769332101e-13, 3.600000000000e-07, 1.292297269389e-21, -4.705846397041e-22
4.500000000000e+00, 4.500000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 4.500000000000e+02, 1.125000000000e+02, 1.125000000000e+02, -2.290840168928e-13, 4.050000000000e-07, 1.469947478454e-21, -5.498016405427e-22
5.000000000000e+00, 5.000000000000e+02, 0.000000000000e+00, 0.000000000000e+00, 5.000000000000e+02, 1.250000000000e+02, 1.250000000000e+02, -2.201011226116e-13, 4.500000000000e-07, 1.594407781791e-21, -5.282426942678e-22
