"TIME", "PRESSURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_YY", "STRESS_ZZ", "STRESS_XY", "STRAIN_XX", "STRAIN_YY", "STRAIN_XY"
0.000000000000e+00, 1.000000000000e+03, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+00, 0.000000000000e+00, -7.013588624421e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 4.235164736272e-12, -9.000000000000e-07, -2.360940117549e-21, 1.016439536705e-20
2.000000000000e+00, 0.000000000000e+00, -8.477991437081e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 3.607278520685e-12, -9.000000000000e-07, -1.744778178633e-21, 8.657468449644e-21
3.000000000000e+00, 0.000000000000e+00, -8.860837792035e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.572547425537e-12, -9.000000000000e-07, -1.050407928848e-22, 3.774113821288e-21
4.000000000000e+00, 0.000000000000e+00, -8.962842962532e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 2.028882810737e-12, -9.000000000000e-07, -3.604931613448e-22, 4.869318745768e-21
5.000000000000e+00, 0.000000000000e+00, -8.990064761653e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 2.191165078455e-12, -9.000000000000e-07, -2.408002697277e-22, 5.258796188291e-21
6.000000000000e+00, 0.000000000000e+00, -8.997351872852e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 1.999223166419e-12, -9.000000000000e-07, -4.850965839820e-22, 4.798135599405e-21
7.000000000000e+00, 0.000000000000e+00, -8.999305004385e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 2.100169783280e-12, -9.000000000000e-07, -3.885893173557e-22, 5.040407479873e-21
8.000000000000e+00, 0.000000000000e+00, -8.999805322447e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 2.089106467082e-12, -9.000000000000e-07, -3.171082660801e-22, 5.013855520998e-21
9.000000000000e+00, 0.000000000000e+00, -8.999954901311e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 2.199676013737e-12, -9.000000000000e-07, -3.098339778952e-22, 5.279222432968e-21
1.000000000000e+01, 0.000000000000e+00, -8.999983558424e-07, 0.000000000000e+00, -1.000000000000e+03, -2.500000000000e+02, -2.500000000000e+02, 2.033339964859e-12, -9.000000000000e-07, -2.536214447550e-22, 4.880015915661e-21
