NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
0, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -4.533406657477e-08, 1.073661318031e-09, -1.816415098001e-08, -5.207936434696e-07, 1.095398065753e-08, -9.999999999995e+05, 9.999999999998e-03, 1.288393581637e-16, -2.179698117601e-15, 9.999999999969e-03, 1.314477678903e-15, -4.999999999997e-02
1, 9.999999999994e-02, 0.000000000000e+00, 0.000000000000e+00, 2.072435260440e-08, -6.787497117210e-08, 3.002035348704e-08, -2.708363657196e-06, 1.366636838418e-08, -9.999999999983e+05, 1.000000000001e-02, -8.144996540653e-15, 3.602442418445e-15, 9.999999999847e-03, 1.639964206102e-15, -4.999999999989e-02
2, 1.000000000011e-01, 9.999999999865e-02, 0.000000000000e+00, 8.516678159746e-07, -1.459047003586e-07, -2.091889788321e-07, -6.393529474735e-07, 1.511847649386e-07, -9.999999999982e+05, 1.000000000003e-02, -1.750856404303e-14, -2.510267745985e-14, 9.999999999942e-03, 1.814217179263e-14, -4.999999999991e-02
3, 0.000000000000e+00, 9.999999999971e-02, 0.000000000000e+00, 2.223217355398e-06, 1.257577393639e-07, -1.533061871895e-08, -3.527845062005e-07, 1.423551429128e-07, -1.000000000000e+06, 1.000000000012e-02, 1.509092872366e-14, -1.839674246273e-15, 9.999999999961e-03, 1.708261714954e-14, -5.000000000002e-02
4, 0.000000000000e+00, 0.000000000000e+00, -4.999999999998e-01, -1.735034553955e-06, 2.255923553672e-08, 1.695903014856e-08, 2.839175673823e-07, -3.651291749661e-08, -1.000000000000e+06, 9.999999999912e-03, 2.707108264407e-15, 2.035083617828e-15, 1.000000000003e-02, -4.381550099593e-15, -4.999999999999e-02
5, 9.999999999953e-02, 0.000000000000e+00, -4.999999999991e-01, 4.206473628680e-08, -6.535043653020e-08, 9.454242944074e-08, -1.981519744731e-06, -1.366154970786e-07, -9.999999999998e+05, 1.000000000002e-02, -7.842052383624e-15, 1.134509153289e-14, 9.999999999899e-03, -1.639385964943e-14, -4.999999999997e-02
6, 1.000000000001e-01, 9.999999999886e-02, -4.999999999989e-01, -7.417596255740e-08, -4.119793578428e-07, 1.848926104812e-07, -7.078366858574e-07, -5.816262787753e-08, -9.999999999991e+05, 9.999999999995e-03, -4.943752294114e-14, 2.218711325774e-14, 9.999999999957e-03, -6.979515345303e-15, -4.999999999995e-02
7, 0.000000000000e+00, 1.000000000001e-01, -5.000000000001e-01, 2.640663296916e-07, 4.188272992312e-08, -8.498789779571e-08, 4.240670629467e-08, -1.585826377622e-08, -1.000000000000e+06, 1.000000000001e-02, 5.025927590774e-15, -1.019854773548e-14, 1.000000000000e-02, -1.902991653147e-15, -5.000000000000e-02
8, 2.499999999973e-02, 0.000000000000e+00, -4.999999999997e-01, -1.437023456674e-06, 3.229868388561e-08, -1.034162854094e-07, 1.292598123352e-07, -1.423870666434e-07, -1.000000000000e+06, 9.999999999928e-03, 3.875842066274e-15, -1.240995424912e-14, 1.000000000002e-02, -1.708644799721e-14, -4.999999999999e-02
9, 4.999999999954e-02, 0.000000000000e+00, -4.999999999996e-01, -1.211558507445e-06, 1.033169378561e-08, -4.130509109900e-08, -4.705871106125e-07, -1.800137007050e-07, -1.000000000000e+06, 9.999999999944e-03, 1.239803254273e-15, -4.956610931880e-15, 9.999999999988e-03, -2.160164408460e-14, -4.999999999998e-02
