NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, DISPLACEMENT_Z1, STRESS_XX, STRESS_XY, STRESS_XZ, STRESS_YY, STRESS_YZ, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_XZ, STRAIN_YY, STRAIN_YZ, STRAIN_ZZ
0, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, 3.840003743906e-11, -1.704229806733e-11, -6.376500000001e+04, -6.167484124990e-11, -2.550600000000e+05, -1.408169895093e-16, 4.608004492687e-18, -2.045075768080e-18, -2.916218867056e-16, -7.400980949988e-18, -1.147770000000e-02
1, 6.833743976639e-17, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, -1.174435931265e-09, -1.487901351792e-09, -6.376500000001e+04, 1.272242853379e-10, -2.550600000000e+05, 3.148578009592e-17, -1.409323117518e-16, -1.785481622150e-16, -2.947822810333e-16, 1.526691424055e-17, -1.147770000000e-02
2, -1.510665277179e-17, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, 3.162928861551e-10, 2.772263600384e-10, -6.376500000000e+04, 1.510101546586e-10, -2.550600000000e+05, 1.342628186383e-16, 3.795514633861e-17, 3.326716320460e-17, -2.441597584699e-16, 1.812121855904e-17, -1.147770000000e-02
3, -1.144425105025e-16, 0.000000000000e+00, 0.000000000000e+00, -6.376500000000e+04, 2.343684338774e-09, 2.139341516247e-09, -6.376500000000e+04, -4.167892773495e-11, -2.550600000000e+05, 6.385490686904e-18, 2.812421206529e-16, 2.567209819496e-16, -2.433041288992e-16, -5.001471328195e-18, -1.147770000000e-02
4, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, -6.376500000001e+04, -2.313864012964e-11, -1.633808100086e-10, -6.376500000001e+04, 8.942422589834e-12, -2.550600000000e+05, -2.034511893329e-16, -2.776636815556e-18, -1.960569720103e-17, -2.706827123315e-16, 1.073090710780e-18, -1.147770000000e-02
5, 0.000000000000e+00, 2.189059534285e-16, 0.000000000000e+00, -6.376500000000e+04, -3.863015144584e-09, 8.811586937530e-11, -6.376500000000e+04, -4.014684907880e-09, -2.550600000000e+05, -9.014858416279e-17, -4.635618173500e-16, 1.057390432504e-17, -1.520425262354e-16, -4.817621889456e-16, -1.147770000000e-02
6, 6.007704875984e-17, 2.255333231390e-16, 0.000000000000e+00, -6.376500000000e+04, 8.363837341053e-11, -1.300183677574e-09, -6.376500000000e+04, -4.077259787625e-09, -2.550600000000e+05, 1.766671727562e-17, 1.003660480926e-17, -1.560220413089e-16, -1.446611450541e-16, -4.892711745150e-16, -1.147770000000e-02
7, -2.899454264189e-17, 1.817814897628e-16, 0.000000000000e+00, -6.376500000000e+04, 6.260320580745e-10, 2.867653182242e-10, -6.376500000000e+04, -3.368242039654e-09, -2.550600000000e+05, 1.491766496590e-16, 7.512384696894e-17, 3.441183818690e-17, -1.397024445621e-16, -4.041890447584e-16, -1.147770000000e-02
8, -1.259570053197e-16, 1.758027934978e-16, 0.000000000000e+00, -6.376500000000e+04, 2.460343585778e-10, 2.070536184261e-09, -6.376500000000e+04, -3.428384985241e-09, -2.550600000000e+05, -2.053488367251e-17, 2.952412302934e-17, 2.484643421113e-16, -1.286828945474e-16, -4.114061982289e-16, -1.147770000000e-02
9, 0.000000000000e+00, 1.738898245184e-16, 0.000000000000e+00, -6.376500000001e+04, 3.085617132995e-09, -1.396321782492e-10, -6.376500000000e+04, -3.448773181193e-09, -2.550600000000e+05, -2.024683823614e-16, 3.702740559593e-16, -1.675586138991e-17, -8.389021920143e-17, -4.138527817432e-16, -1.147770000000e-02
10, 0.000000000000e+00, 1.837534314932e-16, 0.000000000000e+00, -6.376500000000e+04, -3.369155752370e-09, -9.621164367229e-11, -6.376499999999e+04, -3.414638752682e-09, -2.550600000000e+05, -4.624393681351e-17, -4.042986902843e-16, -1.154539724067e-17, 1.604616083769e-16, -4.097566503218e-16, -1.147770000000e-02
