NodeID, PRESSURE1, TEMPERATURE1
0, 1.000000000000e+07, 1.000000000000e+00
1, 9.750000000000e+06, 1.000000000000e+00
2, 9.500000000000e+06, 1.000000000000e+00
3, 9.250000000000e+06, 1.000000000000e+00
4, 9.000000000000e+06, 1.000000000000e+00
5, 8.750000000000e+06, 1.000000000000e+00
6, 8.500000000000e+06, 1.000000000000e+00
7, 8.250000000000e+06, 1.000000000000e+00
8, 8.000000000000e+06, 1.000000000000e+00
9, 7.750000000000e+06, 1.000000000000e+00
10, 7.500000000000e+06, 1.000000000000e+00
11, 7.250000000000e+06, 1.000000000000e+00
12, 7.000000000000e+06, 1.000000000000e+00
13, 6.750000000000e+06, 1.000000000000e+00
14, 6.500000000000e+06, 1.000000000000e+00
15, 6.250000000000e+06, 1.000000000000e+00
16, 6.000000000000e+06, 1.000000000000e+00
17, 5.750000000000e+06, 1.000000000000e+00
18, 5.500000000000e+06, 1.000000000000e+00
19, 5.250000000000e+06, 1.000000000000e+00
20, 5.000000000000e+06, 1.000000000000e+00
21, 4.750000000000e+06, 1.000000000000e+00
22, 4.500000000000e+06, 1.000000000000e+00
23, 4.250000000000e+06, 1.000000000000e+00
24, 4.000000000000e+06, 1.000000000000e+00
25, 3.750000000000e+06, 1.000000000000e+00
26, 3.500000000000e+06, 1.000000000000e+00
27, 3.250000000000e+06, 1.000000000000e+00
28, 3.000000000000e+06, 9.999999999999e-01
29, 2.750000000000e+06, 9.999999999989e-01
30, 2.500000000000e+06, 9.999999999861e-01
31, 2.250000000000e+06, 9.999999998308e-01
32, 2.000000000000e+06, 9.999999979388e-01
33, 1.750000000000e+06, 9.999999748900e-01
34, 1.500000000000e+06, 9.999996940977e-01
35, 1.250000000000e+06, 9.999962733468e-01
36, 1.000000000000e+06, 9.999546000702e-01
37, 7.500000000000e+05, 9.994469156299e-01
38, 5.000000000000e+05, 9.932620530009e-01
39, 2.500000000000e+05, 9.179150013761e-01
40, 0.000000000000e+00, 0.000000000000e+00
