NodeID, TEMPERATURE1
0, 2.775276127077e+01
1, 2.725155918335e+01
2, 2.682908603712e+01
3, 2.647459916001e+01
4, 2.617897891798e+01
5, 2.593427015497e+01
6, 2.573341015850e+01
7, 2.557007112691e+01
8, 2.543857165730e+01
9, 2.533382756718e+01
10, 2.525132247561e+01
11, 2.518708548659e+01
12, 2.513766827409e+01
13, 2.510011748711e+01
14, 2.507194099908e+01
15, 2.505106831132e+01
16, 2.503580652563e+01
17, 2.502479385347e+01
18, 2.501695275435e+01
19, 2.501144461722e+01
20, 2.500762753187e+01
21, 2.500501824298e+01
22, 2.500325891542e+01
23, 2.500208892296e+01
24, 2.500132153548e+01
25, 2.500082513700e+01
26, 2.500050845464e+01
27, 2.500030920706e+01
28, 2.500018557243e+01
29, 2.500010991164e+01
30, 2.500006424547e+01
31, 2.500003706078e+01
32, 2.500002109913e+01
33, 2.500001185462e+01
34, 2.500000657260e+01
35, 2.500000359421e+01
36, 2.500000193485e+01
37, 2.500000101769e+01
38, 2.500000050757e+01
39, 2.500000020851e+01
40, 2.500000000000e+01
