"TIME", "TEMPERATURE1"
0.000000000000e+00, 2.500000000000e+01
1.000000000000e+03, 2.500000000004e+01
2.000000000000e+03, 2.500000000091e+01
3.000000000000e+03, 2.500000000858e+01
4.000000000000e+03, 2.500000005270e+01
5.000000000000e+03, 2.500000023910e+01
6.000000000000e+03, 2.500000086049e+01
7.000000000000e+03, 2.500000257519e+01
8.000000000000e+03, 2.500000663233e+01
9.000000000000e+03, 2.500001509303e+01
1.000000000000e+04, 2.500003098951e+01
1.100000000000e+04, 2.500005838261e+01
1.200000000000e+04, 2.500010230859e+01
1.300000000000e+04, 2.500016863216e+01
1.400000000000e+04, 2.500026383737e+01
1.500000000000e+04, 2.500039479043e+01
1.600000000000e+04, 2.500056850351e+01
1.700000000000e+04, 2.500079192003e+01
1.800000000000e+04, 2.500107173350e+01
1.900000000000e+04, 2.500141424475e+01
2.000000000000e+04, 2.500182525755e+01
2.100000000000e+04, 2.500231000922e+01
2.200000000000e+04, 2.500287313142e+01
2.300000000000e+04, 2.500351863563e+01
2.400000000000e+04, 2.500424991792e+01
2.500000000000e+04, 2.500506977826e+01
2.600000000000e+04, 2.500598045007e+01
2.700000000000e+04, 2.500698363671e+01
2.800000000000e+04, 2.500808055200e+01
2.900000000000e+04, 2.500927196274e+01
3.000000000000e+04, 2.501055823160e+01
3.100000000000e+04, 2.501193935914e+01
3.200000000000e+04, 2.501341502426e+01
3.300000000000e+04, 2.501498462238e+01
3.400000000000e+04, 2.501664730115e+01
3.500000000000e+04, 2.501840199343e+01
3.600000000000e+04, 2.502024744756e+01
3.700000000000e+04, 2.502218225485e+01
3.800000000000e+04, 2.502420487445e+01
3.900000000000e+04, 2.502631365578e+01
4.000000000000e+04, 2.502850685850e+01
4.100000000000e+04, 2.503078267039e+01
4.200000000000e+04, 2.503313922318e+01
4.300000000000e+04, 2.503557460652e+01
4.400000000000e+04, 2.503808688030e+01
4.500000000000e+04, 2.504067408546e+01
4.600000000000e+04, 2.504333425342e+01
4.700000000000e+04, 2.504606541425e+01
4.800000000000e+04, 2.504886560380e+01
4.900000000000e+04, 2.505173286980e+01
5.000000000000e+04, 2.505466527707e+01
5.100000000000e+04, 2.505766091205e+01
5.200000000000e+04, 2.506071788648e+01
5.300000000000e+04, 2.506383434062e+01
5.400000000000e+04, 2.506700844585e+01
5.500000000000e+04, 2.507023840680e+01
5.600000000000e+04, 2.507352246306e+01
5.700000000000e+04, 2.507685889059e+01
5.800000000000e+04, 2.508024600268e+01
5.900000000000e+04, 2.508368215078e+01
6.000000000000e+04, 2.508716572495e+01
6.100000000000e+04, 2.509069515417e+01
6.200000000000e+04, 2.509426890648e+01
6.300000000000e+04, 2.509788548890e+01
6.400000000000e+04, 2.510154344730e+01
6.500000000000e+04, 2.510524136601e+01
6.600000000000e+04, 2.510897786753e+01
6.700000000000e+04, 2.511275161197e+01
6.800000000000e+04, 2.511656129654e+01
6.900000000000e+04, 2.512040565492e+01
7.000000000000e+04, 2.512428345664e+01
7.100000000000e+04, 2.512819350631e+01
7.200000000000e+04, 2.513213464298e+01
7.300000000000e+04, 2.513610573934e+01
7.400000000000e+04, 2.514010570096e+01
7.500000000000e+04, 2.514413346553e+01
7.600000000000e+04, 2.514818800206e+01
7.700000000000e+04, 2.515226831008e+01
7.800000000000e+04, 2.515637341887e+01
7.900000000000e+04, 2.516050238666e+01
8.000000000000e+04, 2.516465429988e+01
8.100000000000e+04, 2.516882827232e+01
8.200000000000e+04, 2.517302344445e+01
8.300000000000e+04, 2.517723898260e+01
8.400000000000e+04, 2.518147407827e+01
8.500000000000e+04, 2.518572794735e+01
8.600000000000e+04, 2.518999982947e+01
8.700000000000e+04, 2.519428898725e+01
8.800000000000e+04, 2.519859470564e+01
8.900000000000e+04, 2.520291629126e+01
9.000000000000e+04, 2.520725307174e+01
9.100000000000e+04, 2.521160439507e+01
9.200000000000e+04, 2.521596962904e+01
9.300000000000e+04, 2.522034816056e+01
9.400000000000e+04, 2.522473939514e+01
9.500000000000e+04, 2.522914275629e+01
9.600000000000e+04, 2.523355768498e+01
9.700000000000e+04, 2.523798363907e+01
9.800000000000e+04, 2.524242009287e+01
9.900000000000e+04, 2.524686653652e+01
1.000000000000e+05, 2.525132247561e+01
