"TIME", "TEMPERATURE1"
0.000000000000e+00, 0.000000000000e+00
5.000000000000e-03, 8.893496471972e-19
1.000000000000e-02, 4.216180827375e-17
1.500000000000e-02, 6.064714231691e-16
2.000000000000e-02, 5.302055411978e-15
2.500000000000e-02, 3.411854498470e-14
3.000000000000e-02, 1.759726519987e-13
3.500000000000e-02, 7.630468979832e-13
4.000000000000e-02, 2.869342980584e-12
4.500000000000e-02, 9.566589393636e-12
5.000000000000e-02, 2.875883959223e-11
5.500000000000e-02, 7.899307006261e-11
6.000000000000e-02, 2.003988787624e-10
6.500000000000e-02, 4.737834093998e-10
7.000000000000e-02, 1.051778680034e-09
7.500000000000e-02, 2.206648206349e-09
8.000000000000e-02, 4.399740422416e-09
8.500000000000e-02, 8.377489658144e-09
9.000000000000e-02, 1.529823522783e-08
9.500000000000e-02, 2.689295989702e-08
1.000000000000e-01, 4.566142559970e-08
1.050000000000e-01, 7.510325596982e-08
1.100000000000e-01, 1.199814683723e-07
1.150000000000e-01, 1.866139857150e-07
1.200000000000e-01, 2.831869329199e-07
1.250000000000e-01, 4.200821768763e-07
1.300000000000e-01, 6.102106838929e-07
1.350000000000e-01, 8.693428751463e-07
1.400000000000e-01, 1.216427242148e-06
1.450000000000e-01, 1.673888988251e-06
1.500000000000e-01, 2.267901311691e-06
1.550000000000e-01, 3.028623050861e-06
1.600000000000e-01, 3.990397681275e-06
1.650000000000e-01, 5.191909999107e-06
1.700000000000e-01, 6.676298172417e-06
1.750000000000e-01, 8.491220126131e-06
1.800000000000e-01, 1.068887440366e-05
1.850000000000e-01, 1.332597668437e-05
1.900000000000e-01, 1.646369401331e-05
1.950000000000e-01, 2.016753950971e-05
2.000000000000e-01, 2.450723086619e-05
2.050000000000e-01, 2.955651633865e-05
2.100000000000e-01, 3.539297217230e-05
2.150000000000e-01, 4.209777552725e-05
2.200000000000e-01, 4.975545697656e-05
2.250000000000e-01, 5.845363656791e-05
2.300000000000e-01, 6.828274728596e-05
