"TIME", "TEMPERATURE1"
0.000000000000e+00, 2.500000000000e+01
1.000000000000e+03, 2.500000000000e+01
2.000000000000e+03, 2.500000000000e+01
3.000000000000e+03, 2.500000000000e+01
4.000000000000e+03, 2.500000000000e+01
5.000000000000e+03, 2.500000000000e+01
6.000000000000e+03, 2.500000000002e+01
7.000000000000e+03, 2.500000000010e+01
8.000000000000e+03, 2.500000000038e+01
9.000000000000e+03, 2.500000000133e+01
1.000000000000e+04, 2.500000000407e+01
1.100000000000e+04, 2.500000001123e+01
1.200000000000e+04, 2.500000002833e+01
1.300000000000e+04, 2.500000006589e+01
1.400000000000e+04, 2.500000014267e+01
1.500000000000e+04, 2.500000028987e+01
1.600000000000e+04, 2.500000055646e+01
1.700000000000e+04, 2.500000101535e+01
1.800000000000e+04, 2.500000177031e+01
1.900000000000e+04, 2.500000296312e+01
2.000000000000e+04, 2.500000478061e+01
2.100000000000e+04, 2.500000746133e+01
2.200000000000e+04, 2.500001130128e+01
2.300000000000e+04, 2.500001665868e+01
2.400000000000e+04, 2.500002395735e+01
2.500000000000e+04, 2.500003368875e+01
2.600000000000e+04, 2.500004641262e+01
2.700000000000e+04, 2.500006275621e+01
2.800000000000e+04, 2.500008341224e+01
2.900000000000e+04, 2.500010913580e+01
3.000000000000e+04, 2.500014074019e+01
3.100000000000e+04, 2.500017909203e+01
3.200000000000e+04, 2.500022510576e+01
3.300000000000e+04, 2.500027973768e+01
3.400000000000e+04, 2.500034397979e+01
3.500000000000e+04, 2.500041885343e+01
3.600000000000e+04, 2.500050540298e+01
3.700000000000e+04, 2.500060468965e+01
3.800000000000e+04, 2.500071778548e+01
3.900000000000e+04, 2.500084576763e+01
4.000000000000e+04, 2.500098971295e+01
4.100000000000e+04, 2.500115069300e+01
4.200000000000e+04, 2.500132976937e+01
4.300000000000e+04, 2.500152798951e+01
4.400000000000e+04, 2.500174638286e+01
4.500000000000e+04, 2.500198595748e+01
4.600000000000e+04, 2.500224769706e+01
4.700000000000e+04, 2.500253255828e+01
4.800000000000e+04, 2.500284146861e+01
