"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+06, 1.119209417867e+07, 4.231499729649e+02
5.256000000000e+06, 1.119209417867e+07, 4.231496323499e+02
7.884000000000e+06, 1.119209417867e+07, 4.231475137959e+02
1.051200000000e+07, 1.119209417867e+07, 4.231389144602e+02
1.314000000000e+07, 1.119209417867e+07, 4.231133743099e+02
1.576800000000e+07, 1.119209417867e+07, 4.230534816172e+02
1.839600000000e+07, 1.119209417867e+07, 4.229361316055e+02
2.102400000000e+07, 1.119209417867e+07, 4.227357187201e+02
2.365200000000e+07, 1.119209417867e+07, 4.224278585987e+02
2.628000000000e+07, 1.119209417867e+07, 4.219924432531e+02
2.890800000000e+07, 1.119209417867e+07, 4.214154785198e+02
3.153600000000e+07, 1.119209417867e+07, 4.206896998084e+02
