"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+05, 1.195442277890e+07, 3.431500000000e+02
5.256000000000e+05, 1.219704499098e+07, 3.431500000000e+02
7.884000000000e+05, 1.227690236380e+07, 3.431500000000e+02
1.051200000000e+06, 1.231562814821e+07, 3.431500000000e+02
1.314000000000e+06, 1.234082897634e+07, 3.431500000000e+02
1.576800000000e+06, 1.236038307246e+07, 3.431500000000e+02
1.839600000000e+06, 1.237686592264e+07, 3.431500000000e+02
2.102400000000e+06, 1.239128896501e+07, 3.431500000000e+02
2.365200000000e+06, 1.240417085100e+07, 3.431500000000e+02
2.628000000000e+06, 1.241584723054e+07, 3.431500000000e+02
5.256000000000e+06, 1.248688333227e+07, 3.431499999999e+02
7.884000000000e+06, 1.254063738256e+07, 3.431499999999e+02
1.051200000000e+07, 1.258394191249e+07, 3.431499999999e+02
1.314000000000e+07, 1.262043234072e+07, 3.431499999999e+02
1.576800000000e+07, 1.265219403200e+07, 3.431499999999e+02
1.839600000000e+07, 1.268050535256e+07, 3.431499999999e+02
2.102400000000e+07, 1.270619528839e+07, 3.431499999999e+02
2.365200000000e+07, 1.272982760480e+07, 3.431499999999e+02
2.628000000000e+07, 1.275180130374e+07, 3.431499999999e+02
2.890800000000e+07, 1.277240833739e+07, 3.431499999999e+02
3.153600000000e+07, 1.279186835851e+07, 3.431499999999e+02
