"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+05, 1.096905377775e+07, 4.231499956169e+02
5.256000000000e+05, 1.113800053283e+07, 4.231500246976e+02
7.884000000000e+05, 1.117569757878e+07, 4.231499887607e+02
1.051200000000e+06, 1.118591436360e+07, 4.231499545033e+02
1.314000000000e+06, 1.118950305530e+07, 4.231499619491e+02
1.576800000000e+06, 1.119131980003e+07, 4.231500089411e+02
1.839600000000e+06, 1.119257427795e+07, 4.231500689600e+02
2.102400000000e+06, 1.119358650347e+07, 4.231501118176e+02
2.365200000000e+06, 1.119445330639e+07, 4.231501167529e+02
2.628000000000e+06, 1.119521349735e+07, 4.231500772326e+02
5.256000000000e+06, 1.119890204534e+07, 4.231498761669e+02
7.884000000000e+06, 1.120084902203e+07, 4.231489101907e+02
1.051200000000e+07, 1.120177684625e+07, 4.231432360142e+02
1.314000000000e+07, 1.120208303900e+07, 4.231225765594e+02
1.576800000000e+07, 1.120200256614e+07, 4.230677823188e+02
1.839600000000e+07, 1.120168596254e+07, 4.229525920882e+02
2.102400000000e+07, 1.120123708048e+07, 4.227481716786e+02
2.365200000000e+07, 1.120073220422e+07, 4.224279175998e+02
2.628000000000e+07, 1.120022985469e+07, 4.219709679104e+02
2.890800000000e+07, 1.119977602152e+07, 4.213639758993e+02
3.153600000000e+07, 1.119940716621e+07, 4.206013779358e+02
