"TIME", "PRESSURE1", "TEMPERATURE1"
0.000000000000e+00, 1.000000000000e+07, 4.231500000000e+02
2.628000000000e+05, 8.127403232856e+06, 4.231500000000e+02
5.256000000000e+05, 7.936498261419e+06, 4.231500000000e+02
7.884000000000e+05, 7.894975339707e+06, 4.231499999999e+02
1.051200000000e+06, 7.884906253966e+06, 4.231499999997e+02
1.314000000000e+06, 7.882390075198e+06, 4.231499999996e+02
1.576800000000e+06, 7.881763867955e+06, 4.231499999995e+02
1.839600000000e+06, 7.881616934080e+06, 4.231499999994e+02
2.102400000000e+06, 7.881591058635e+06, 4.231499999993e+02
2.365200000000e+06, 7.881594645186e+06, 4.231499999992e+02
2.628000000000e+06, 7.881604318177e+06, 4.231499999991e+02
5.256000000000e+06, 7.881634966097e+06, 4.231500000008e+02
7.884000000000e+06, 7.881615339587e+06, 4.231499999959e+02
1.051200000000e+07, 7.881564668411e+06, 4.231499999916e+02
1.314000000000e+07, 7.881494210146e+06, 4.231499999879e+02
1.576800000000e+07, 7.881410767502e+06, 4.231499999847e+02
1.839600000000e+07, 7.881318591101e+06, 4.231499999819e+02
2.102400000000e+07, 7.881220413704e+06, 4.231499999795e+02
2.365200000000e+07, 7.881118044294e+06, 4.231499999774e+02
2.628000000000e+07, 7.881012714082e+06, 4.231499999755e+02
2.890800000000e+07, 7.880905281322e+06, 4.231499999738e+02
3.153600000000e+07, 7.880796356268e+06, 4.231499999723e+02
