NodeID, TEMPERATURE1, DISPLACEMENT_X1, DISPLACEMENT_Y1, STRESS_XX, STRESS_YY, STRESS_ZZ, STRESS_XY, STRAIN_XX, STRAIN_YY, STRAIN_ZZ, STRAIN_XY
0, 0.000000000000e+00, -2.500000000000e-05, 0.000000000000e+00, -2.578698309268e-08, -2.589990799606e-08, -1.292244178330e-08, 7.228014483237e-10, -6.432487315457e-19, -6.488000009200e-19, 0.000000000000e+00, 7.228014483237e-20
1, 5.000000000000e-02, -2.493750000000e-05, 0.000000000000e+00, 4.446830729040e-09, -5.000000000000e+04, -5.000000000000e+04, -1.022104643524e-08, 2.500000000000e-06, 5.598280467991e-20, 0.000000000000e+00, -1.022104643524e-18
2, 1.000000000000e-01, -2.475000000000e-05, 0.000000000000e+00, -1.763112515049e-08, -1.000000000000e+05, -1.000000000000e+05, 8.626255828941e-09, 4.999999999999e-06, 3.101809269600e-19, 0.000000000000e+00, 8.626255828941e-19
3, 1.500000000000e-01, -2.443750000000e-05, 0.000000000000e+00, 1.331133631137e-08, -1.500000000000e+05, -1.500000000000e+05, -1.681369437063e-08, 7.500000000000e-06, -9.615817690491e-20, 0.000000000000e+00, -1.681369437063e-18
4, 2.000000000000e-01, -2.400000000000e-05, 0.000000000000e+00, -1.186591826721e-08, -2.000000000000e+05, -2.000000000000e+05, 3.963931988115e-09, 1.000000000000e-05, 1.481544936079e-19, 0.000000000000e+00, 3.963931988115e-19
5, 2.500000000000e-01, -2.343750000000e-05, 0.000000000000e+00, 3.080136752740e-08, -2.500000000000e+05, -2.500000000000e+05, -1.436422114515e-08, 1.250000000000e-05, -5.742946884647e-20, 0.000000000000e+00, -1.436422114515e-18
6, 3.000000000000e-01, -2.275000000000e-05, 0.000000000000e+00, 3.039215033499e-09, -3.000000000000e+05, -3.000000000000e+05, 9.544148897575e-09, 1.500000000000e-05, 3.203545032243e-19, 0.000000000000e+00, 9.544148897575e-19
7, 3.500000000000e-01, -2.193750000000e-05, 0.000000000000e+00, 4.524106618903e-09, -3.500000000000e+05, -3.500000000000e+05, -2.467124484058e-08, 1.750000000000e-05, -2.945000051836e-19, 0.000000000000e+00, -2.467124484058e-18
8, 4.000000000000e-01, -2.100000000000e-05, 0.000000000000e+00, 8.306044579243e-10, -4.000000000000e+05, -4.000000000000e+05, -1.124495343883e-08, 2.000000000000e-05, 8.326101962435e-20, 0.000000000000e+00, -1.124495343883e-18
9, 4.500000000000e-01, -1.993750000000e-05, 0.000000000000e+00, 6.987736463257e-08, -4.500000000000e+05, -4.500000000000e+05, 1.408734004090e-08, 2.250000000000e-05, 5.139316495822e-19, 0.000000000000e+00, 1.408734004090e-18
10, 5.000000000000e-01, -1.875000000000e-05, 0.000000000000e+00, 2.036926785480e-08, -5.000000000000e+05, -5.000000000000e+05, 2.375763212050e-08, 2.500000000000e-05, -6.153353848825e-19, 0.000000000000e+00, 2.375763212050e-18
11, 5.500000000000e-01, -1.743750000000e-05, 0.000000000000e+00, 5.498375771282e-08, -5.500000000000e+05, -5.500000000000e+05, 2.511789400480e-08, 2.750000000000e-05, 3.854192771363e-19, 0.000000000000e+00, 2.511789400480e-18
12, 6.000000000000e-01, -1.600000000000e-05, 0.000000000000e+00, 6.609781120995e-08, -6.000000000000e+05, -6.000000000000e+05, 6.487906496120e-09, 3.000000000000e-05, 6.775757928915e-19, 0.000000000000e+00, 6.487906496120e-19
13, 6.500000000000e-01, -1.443750000000e-05, 0.000000000000e+00, 6.794602987473e-08, -6.500000000000e+05, -6.500000000000e+05, 1.010337137802e-09, 3.250000000000e-05, -1.134382271770e-19, 0.000000000000e+00, 1.010337137802e-19
14, 7.000000000000e-01, -1.275000000000e-05, 0.000000000000e+00, 4.466217552986e-08, -7.000000000000e+05, -7.000000000000e+05, -3.576664028058e-09, 3.500000000000e-05, -5.097222131037e-19, 0.000000000000e+00, -3.576664028058e-19
15, 7.500000000000e-01, -1.093750000000e-05, 0.000000000000e+00, 9.875624657525e-08, -7.499999999999e+05, -7.500000000000e+05, -1.669966341411e-08, 3.750000000000e-05, 7.330045106610e-19, 0.000000000000e+00, -1.669966341411e-18
16, 8.000000000000e-01, -9.000000000001e-06, 0.000000000000e+00, 7.824570655965e-08, -8.000000000000e+05, -8.000000000000e+05, 2.905597051524e-09, 4.000000000000e-05, -4.290209972711e-20, 0.000000000000e+00, 2.905597051524e-19
17, 8.500000000000e-01, -6.937500000000e-06, 0.000000000000e+00, 6.126579405199e-08, -8.500000000000e+05, -8.500000000000e+05, 7.005320269863e-10, 4.250000000000e-05, -1.472309819444e-19, 0.000000000000e+00, 7.005320269863e-20
18, 9.000000000000e-01, -4.750000000000e-06, 0.000000000000e+00, 7.112270246209e-08, -9.000000000000e+05, -9.000000000000e+05, 1.308119655847e-09, 4.500000000000e-05, 2.540284826005e-19, 0.000000000000e+00, 1.308119655847e-19
19, 9.500000000000e-01, -2.437500000000e-06, 0.000000000000e+00, 7.726617074705e-08, -9.500000000000e+05, -9.500000000000e+05, -2.059430716672e-08, 4.750000000000e-05, -5.524946661966e-19, 0.000000000000e+00, -2.059430716672e-18
20, 1.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 7.043776372951e-08, -1.000000000000e+06, -1.000000000000e+06, 2.329455585430e-09, 5.000000000000e-05, 4.186272532389e-19, 0.000000000000e+00, 2.329455585430e-19
21, 0.000000000000e+00, -2.500000000000e-05, -2.073649628823e-20, -4.425451341285e-08, -1.703625684968e-08, -1.532492888145e-08, -3.037478222380e-09, -1.446546985453e-18, -8.557616199641e-20, 0.000000000000e+00, -3.037478222380e-19
22, 5.000000000000e-02, -2.493750000000e-05, 8.781548832894e-22, 1.307661779496e-08, -4.999999999999e+04, -5.000000000000e+04, -1.283682876456e-08, 2.500000000000e-06, 4.317305092658e-20, 0.000000000000e+00, -1.283682876456e-18
23, 1.000000000000e-01, -2.475000000000e-05, 3.792391361324e-21, -1.421923247195e-09, -1.000000000000e+05, -1.000000000000e+05, -1.212049412521e-08, 5.000000000000e-06, 8.256312590129e-20, 0.000000000000e+00, -1.212049412521e-18
24, 1.500000000000e-01, -2.443750000000e-05, 5.083158453718e-21, 2.267076518146e-08, -1.500000000000e+05, -1.500000000000e+05, -5.661913821104e-09, 7.500000000001e-06, 1.475449222282e-21, 0.000000000000e+00, -5.661913821104e-19
25, 2.000000000000e-01, -2.400000000000e-05, -1.102219243757e-21, -1.538464233282e-08, -2.000000000000e+05, -2.000000000000e+05, -6.515231372296e-09, 9.999999999999e-06, -3.662929073148e-20, 0.000000000000e+00, -6.515231372296e-19
26, 2.500000000000e-01, -2.343750000000e-05, -2.984477982213e-21, 1.353266051394e-08, -2.500000000000e+05, -2.500000000000e+05, -2.657405891438e-09, 1.250000000000e-05, -1.578512885706e-20, 0.000000000000e+00, -2.657405891438e-19
27, 3.000000000000e-01, -2.275000000000e-05, -3.333048702742e-21, -8.798303120282e-09, -3.000000000000e+05, -3.000000000000e+05, -1.084630207341e-08, 1.500000000000e-05, -3.999904276620e-20, 0.000000000000e+00, -1.084630207341e-18
28, 3.500000000000e-01, -2.193750000000e-05, 1.116471817676e-20, 8.141613669580e-09, -3.500000000000e+05, -3.500000000000e+05, -3.327107799985e-10, 1.750000000000e-05, -8.343531552617e-20, 0.000000000000e+00, -3.327107799986e-20
29, 4.000000000000e-01, -2.100000000000e-05, -8.825492043669e-22, 2.141203058886e-08, -4.000000000000e+05, -4.000000000000e+05, -1.336581108827e-09, 2.000000000000e-05, -1.279316102902e-20, 0.000000000000e+00, -1.336581108827e-19
30, 4.500000000000e-01, -1.993750000000e-05, -1.206694722531e-20, 3.846561567813e-08, -4.500000000000e+05, -4.500000000000e+05, -6.385079679498e-09, 2.250000000000e-05, 3.657023916447e-20, 0.000000000000e+00, -6.385079679498e-19
31, 5.000000000000e-01, -1.875000000000e-05, 1.473807269627e-20, 5.706406792350e-08, -5.000000000000e+05, -5.000000000000e+05, -2.208888390722e-09, 2.500000000000e-05, -1.395620175650e-20, 0.000000000000e+00, -2.208888390722e-19
