NodeID, DISPLACEMENT_X1, DISPLACEMENT_Y1, TEMPERATURE1, STRESS_XX, STRESS_XY, STRESS_YY, STRESS_ZZ, STRAIN_XX, STRAIN_XY, STRAIN_YY, STRAIN_ZZ
0, 0.000000000000e+00, 0.000000000000e+00, 2.500000000000e+01, -1.249021212020e-02, 2.660551873834e-06, -4.051573529337e-03, -4.137053338394e-03, -4.177205859682e-12, 2.660551873834e-15, 4.211343575160e-14, -6.264687768013e-16
1, 0.000000000000e+00, 0.000000000000e+00, 2.500000000000e+01, -1.240552152148e-02, -3.540790822357e-06, -4.135762076725e-03, -4.138242832188e-03, -4.134780208469e-12, -3.540790822357e-15, 9.951390700567e-17, -1.140863824444e-15
2, 2.315943001614e-10, 0.000000000000e+00, 2.500001495105e+01, -7.709497992515e-02, -1.287943670590e-01, -1.496916620769e+00, -2.087649704842e+00, 8.432488164555e-10, -1.287943670590e-10, 1.333379960337e-10, -1.620285460031e-10
3, 4.228563162737e-10, 0.000000000000e+00, 2.500001482968e+01, -8.322477940400e-02, 3.326120309251e-01, -1.884156966158e+00, -2.905612450300e+00, 1.063797339375e-09, 3.326120309251e-10, 1.633312459980e-10, -3.473964960730e-10
4, 9.142655253440e-10, 0.000000000000e+00, 2.499999929993e+01, -4.917729036598e-01, 7.455190416819e-02, 3.894605936941e-01, 3.252360507435e-01, -3.205423850350e-10, 7.455190416819e-11, 1.200743636420e-10, 8.796209216672e-11
5, 4.907217273234e-10, 0.000000000000e+00, 2.500000003133e+01, -7.534397601188e-02, 1.628610624224e-03, 7.474187246468e-02, -1.604423864543e-02, -3.272041539765e-11, 1.628610624224e-12, 4.232250884063e-11, -3.070546714430e-12
6, 3.714160192769e-10, 0.000000000000e+00, 2.499999992874e+01, -6.660504252152e-02, -2.237586709663e-03, 5.823530966130e-02, 2.255539268063e-03, -3.493910817823e-11, -2.237586709663e-12, 2.748106791318e-11, -5.088172834371e-13
7, 2.829451241797e-10, 0.000000000000e+00, 2.500000000485e+01, -4.522787334187e-02, -4.905164536076e-04, 2.782555468702e-02, -5.466442106291e-03, -2.002828021483e-11, -4.905164536076e-13, 1.649843379962e-11, -1.475645970394e-13
8, 2.213141448637e-10, 0.000000000000e+00, 2.499999999958e+01, -3.388525391588e-02, 1.718265921824e-05, 1.716431200489e-02, -3.897112305096e-03, -1.490233682366e-11, 1.718265921824e-14, 1.062244613672e-11, 9.173398173097e-14
9, 1.731212854036e-10, 0.000000000000e+00, 2.499999999996e+01, -2.656473726192e-02, -1.051992105805e-05, 1.003204049943e-02, -4.097095898222e-03, -1.122063087489e-11, -1.051992105805e-14, 7.077758005780e-12, 1.318980695418e-14
10, 1.340215592858e-10, 0.000000000000e+00, 2.500000000003e+01, -2.192265470994e-02, -6.404650473621e-06, 5.378265090206e-03, -4.126323327913e-03, -8.893397445694e-12, -6.404650473621e-15, 4.757062454381e-12, 4.768245321414e-15
11, 1.009415302858e-10, 0.000000000000e+00, 2.500000000000e+01, -1.856387365253e-02, -2.096634521912e-06, 2.028748461290e-03, -4.133068389847e-03, -7.215282486378e-12, -2.096634521912e-15, 3.081028570532e-12, 1.201449639470e-16
12, 7.205794862945e-11, 0.000000000000e+00, 2.500000000000e+01, -1.630225421275e-02, -3.427872052724e-06, -2.351849372981e-04, -4.137523667122e-03, -6.083673872892e-12, -3.427872052724e-15, 1.949860764837e-12, -1.308600075253e-15
13, 4.613423467795e-11, 0.000000000000e+00, 2.500000000000e+01, -1.455817264357e-02, -5.424018583060e-07, -1.981338028467e-03, -4.138114034015e-03, -5.211315113871e-12, -5.424018583060e-16, 1.077102193678e-12, -1.285809095426e-15
14, 2.230814201301e-11, 0.000000000000e+00, 2.500000000000e+01, -1.333876450526e-02, -1.922233245290e-06, -3.200422762550e-03, -4.136820218261e-03, -4.601869030455e-12, -1.922233245290e-15, 4.673018409019e-13, -8.968869536025e-16
15, 0.000000000000e+00, 4.918246266576e-15, 2.500000000000e+01, -1.242919861089e-02, 2.210603055871e-08, -4.116402069879e-03, -4.137263624298e-03, -4.146300067404e-12, 2.210603055871e-17, 1.009820309976e-14, -3.325741097755e-16
16, 0.000000000000e+00, 4.919620872950e-15, 2.500000000000e+01, -1.247482243851e-02, -5.588953893648e-07, -4.069634459123e-03, -4.136286326107e-03, -4.169324404356e-12, -5.588953893648e-16, 3.326958533827e-14, -5.634815368815e-17
17, 0.000000000000e+00, 6.035259705719e-15, 2.500000000000e+01, -1.243450739492e-02, 6.553715371309e-10, -4.113870510429e-03, -4.135714711408e-03, -4.148830778562e-12, 6.553715371309e-19, 1.148766368492e-14, 5.655631957428e-16
18, 0.000000000000e+00, 3.779800479425e-16, 2.500000000000e+01, -1.248598824998e-02, -3.421983610511e-07, -4.062787622455e-03, -4.134402979779e-03, -4.174658226326e-12, -3.421983610511e-16, 3.694208743658e-14, 1.134408774457e-15
19, 0.000000000000e+00, -3.560393008398e-15, 2.500000000000e+01, -1.243725602124e-02, -2.493874578524e-08, -4.115908610990e-03, -4.134233211167e-03, -4.149877093260e-12, -2.493874578524e-17, 1.079661186540e-14, 1.634311776769e-15
20, 0.000000000000e+00, -1.072914972142e-14, 2.500000000000e+01, -1.244978818456e-02, -1.860882026113e-07, -4.098396860942e-03, -4.134733118865e-03, -4.156587845607e-12, -1.860882026113e-16, 1.910781619995e-14, 9.396872388690e-16
21, 0.000000000000e+00, -1.351179115474e-14, 2.500000000000e+01, -1.243097518519e-02, 5.332077941378e-07, -4.119807505006e-03, -4.135014151707e-03, -4.146893542413e-12, 5.332077941378e-16, 8.690297676948e-15, 1.086974326105e-15
22, 0.000000000000e+00, -1.923791991888e-14, 2.500000000000e+01, -1.245572398091e-02, 4.434083914008e-08, -4.094024768173e-03, -4.135616965584e-03, -4.159312835277e-12, 4.434083914008e-17, 2.153677109202e-14, 7.406723867794e-16
23, 0.000000000000e+00, -1.856295707163e-14, 2.500000000000e+01, -1.244313126417e-02, -8.837262111059e-07, -4.101809233566e-03, -4.137077140784e-03, -4.153346497241e-12, -8.837262111059e-16, 1.731451806296e-14, -3.194355462406e-16
24, 0.000000000000e+00, -1.623274557305e-14, 2.500000000000e+01, -1.247841350129e-02, 2.775390773457e-07, -4.066169407924e-03, -4.137855991740e-03, -4.170942571592e-12, 2.775390773457e-16, 3.517947508883e-14, -6.638168193103e-16
25, 0.000000000000e+00, -1.233426129902e-14, 2.500000000000e+01, -1.247604764200e-02, -3.595105638043e-08, -4.066777328644e-03, -4.138786686939e-03, -4.169850042516e-12, -3.595105638043e-17, 3.478511416191e-14, -1.219564985535e-15
26, 0.000000000000e+00, -5.300886736911e-15, 2.500000000000e+01, -1.243329964881e-02, -1.205220062304e-07, -4.110777948494e-03, -4.139467832873e-03, -4.148276484570e-12, -1.205220062304e-16, 1.298436558654e-14, -1.360576603213e-15
27, 0.000000000000e+00, 9.343931521326e-17, 2.500000000000e+01, -1.248075494368e-02, -2.806190091207e-07, -4.061365721453e-03, -4.138315745826e-03, -4.172314582141e-12, -2.806190091207e-16, 3.738002897185e-14, -1.094983214479e-15
28, 0.000000000000e+00, 5.723593214406e-15, 2.500000000000e+01, -1.243420631403e-02, -5.446277360540e-08, -4.111983383578e-03, -4.137582236690e-03, -4.148706487018e-12, -5.446277360540e-17, 1.240497820944e-14, -3.944483465541e-16
29, 0.000000000000e+00, 4.603382294516e-15, 2.500000000000e+01, -1.248998515190e-02, -2.528180266947e-07, -4.054751469390e-03, -4.135790323821e-03, -4.176918742792e-12, -2.528180266947e-16, 4.069809846222e-14, 1.786712467803e-16
30, 0.000000000000e+00, 7.594764154286e-15, 2.500000000000e+01, -1.242620061480e-02, 1.215836856885e-07, -4.122466350750e-03, -4.134681479362e-03, -4.144748862856e-12, 1.215836856885e-16, 7.118269171460e-15, 1.010704865481e-15
31, 0.000000000000e+00, 4.186257350440e-16, 2.500000000000e+01, -1.247736278117e-02, -3.755169436120e-07, -4.069633834890e-03, -4.135155488188e-03, -4.170449260955e-12, -3.755169436120e-16, 3.341521218676e-14, 6.543855378343e-16
32, 0.000000000000e+00, 3.976610263068e-16, 2.500000000000e+01, -1.242967456354e-02, 2.686894742839e-07, -4.117867073711e-03, -4.135892630464e-03, -4.146476044651e-12, 2.686894742839e-16, 9.427700261571e-15, 4.149218848074e-16
