"TIME", "TEMPERATURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_XY", "STRESS_YY", "STRESS_ZZ", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY", "STRAIN_ZZ", "STRAIN_PLS"
0.000000000000e+00, 2.981500000000e+02, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e-01, 2.981499453345e+02, -1.540406398818e-16, 0.000000000000e+00, -2.750373819211e+05, 4.682149094176e-07, -1.016725822859e+05, -1.017034905163e+05, -8.805361683365e-06, 4.757063479683e-17, 1.570138104258e-09, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e-01, 2.981504241020e+02, -2.989733915372e-16, 0.000000000000e+00, -3.500525248277e+05, 7.077954795642e-07, -1.295162859773e+05, -1.295471942142e+05, -1.120167079516e-05, 7.191202072373e-17, 1.570138437977e-09, 0.000000000000e+00, 0.000000000000e+00
3.000000000000e-01, 2.981491001091e+02, -4.317139537220e-16, 0.000000000000e+00, -4.148383294916e+05, 7.908539636164e-07, -1.532061056012e+05, -1.532370138448e+05, -1.328934683486e-05, 8.035076270343e-17, 1.570138772767e-09, 0.000000000000e+00, 0.000000000000e+00
4.000000000000e-01, 2.981498325180e+02, -5.516847771858e-16, 0.000000000000e+00, -4.721846181513e+05, 8.325013474855e-07, -1.745668717236e+05, -1.745977799729e+05, -1.511741137946e-05, 8.458213690453e-17, 1.570139065287e-09, 0.000000000000e+00, 0.000000000000e+00
5.000000000000e-01, 2.981511727697e+02, -6.638147569414e-16, 0.000000000000e+00, -5.239301284498e+05, 8.447183606501e-07, -1.939810162832e+05, -1.940119245377e+05, -1.675984475873e-05, 8.582338544205e-17, 1.570139330291e-09, 0.000000000000e+00, 0.000000000000e+00
6.000000000000e-01, 2.981515331825e+02, -7.689684097713e-16, 0.000000000000e+00, -5.713256757777e+05, 8.459495132887e-07, -2.115849336732e+05, -2.116158419325e+05, -1.827325955934e-05, 8.594847055013e-17, 1.570139570646e-09, 0.000000000000e+00, 0.000000000000e+00
7.000000000000e-01, 2.981503789795e+02, -8.658241469436e-16, 0.000000000000e+00, -6.152487114312e+05, 8.475613882018e-07, -2.275932750039e+05, -2.276241832676e+05, -1.969132603071e-05, 8.611223704130e-17, 1.570139793858e-09, 0.000000000000e+00, 0.000000000000e+00
8.000000000000e-01, 2.981481178904e+02, -9.571693925810e-16, 0.000000000000e+00, -6.563330174831e+05, 8.482029024829e-07, -2.423242328887e+05, -2.423551411565e+05, -2.103007611739e-05, 8.617741489226e-17, 1.570140001675e-09, 0.000000000000e+00, 0.000000000000e+00
9.000000000000e-01, 2.981457014424e+02, -1.044223529813e-15, 0.000000000000e+00, -6.950489695488e+05, 8.461487102580e-07, -2.561473011924e+05, -2.561782094640e+05, -2.229463461231e-05, 8.596870896222e-17, 1.570140198372e-09, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+00, 2.981442721388e+02, -1.126181355540e-15, 0.000000000000e+00, -7.317544147911e+05, 8.435961683300e-07, -2.694295952625e+05, -2.694605035378e+05, -2.348453069167e-05, 8.570937070233e-17, 1.570140382825e-09, 0.000000000000e+00, 0.000000000000e+00
