"TIME", "TEMPERATURE1", "DISPLACEMENT_X1", "DISPLACEMENT_Y1", "STRESS_XX", "STRESS_XY", "STRESS_YY", "STRESS_ZZ", "STRAIN_XX", "STRAIN_XY", "STRAIN_YY", "STRAIN_ZZ", "STRAIN_PLS"
0.000000000000e+00, 2.981500000000e+02, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e-01, 2.981481874322e+02, -2.198847037869e-17, -3.925343763443e-09, -2.345681347731e+05, -1.049257484079e-06, -8.638563182746e+04, -8.638563181544e+04, -7.527671150251e-06, -1.066045603824e-16, -6.104733876852e-16, 0.000000000000e+00, 0.000000000000e+00
2.000000000000e-01, 2.981588244055e+02, -3.654624646936e-17, -3.925343653035e-09, -3.225312319320e+05, -2.065753160875e-06, -1.211056074691e+05, -1.211056074584e+05, -1.023242172326e-05, -2.098805211449e-16, -5.419248278722e-16, 0.000000000000e+00, 0.000000000000e+00
3.000000000000e-01, 2.981408143461e+02, -5.691700528490e-17, -3.925343565823e-09, -3.940010122833e+05, -3.114680213510e-06, -1.438389386765e+05, -1.438389386668e+05, -1.270823333972e-05, -3.164515096927e-16, -4.924184151934e-16, 0.000000000000e+00, 0.000000000000e+00
4.000000000000e-01, 2.981423761999e+02, -7.621066913356e-17, -3.925343489233e-09, -4.551632241848e+05, -4.068471416651e-06, -1.667815075645e+05, -1.667815075554e+05, -1.464979120477e-05, -4.133566959318e-16, -4.615461277404e-16, 0.000000000000e+00, 0.000000000000e+00
5.000000000000e-01, 2.981525810823e+02, -9.632727551701e-17, -3.925343423415e-09, -5.093023271031e+05, -4.962914521877e-06, -1.889024529767e+05, -1.889024529681e+05, -1.627631360606e-05, -5.042321154227e-16, -4.378447549498e-16, 0.000000000000e+00, 0.000000000000e+00
6.000000000000e-01, 2.981603599933e+02, -1.145499559172e-16, -3.925343363407e-09, -5.583276682305e+05, -5.854764575035e-06, -2.086335197551e+05, -2.086335197469e+05, -1.776446274297e-05, -5.948440808235e-16, -4.189822971499e-16, 0.000000000000e+00, 0.000000000000e+00
7.000000000000e-01, 2.981616063536e+02, -1.315981429105e-16, -3.925343308098e-09, -6.034369684807e+05, -6.726649224695e-06, -2.255738829257e+05, -2.255738829178e+05, -1.919544474659e-05, -6.834275612290e-16, -4.037257505791e-16, 0.000000000000e+00, 0.000000000000e+00
8.000000000000e-01, 2.981567524494e+02, -1.469841417503e-16, -3.925343257815e-09, -6.454304607965e+05, -7.579517114589e-06, -2.401083449759e+05, -2.401083449682e+05, -2.059036348408e-05, -7.700789388422e-16, -3.893320922792e-16, 0.000000000000e+00, 0.000000000000e+00
9.000000000000e-01, 2.981481305801e+02, -1.621273839142e-16, -3.925343209045e-09, -6.848711114781e+05, -8.404441458906e-06, -2.529243659231e+05, -2.529243659157e+05, -2.194289467457e-05, -8.538912522248e-16, -3.788273859214e-16, 0.000000000000e+00, 0.000000000000e+00
1.000000000000e+00, 2.981384398364e+02, -1.758691093578e-16, -3.925343162441e-09, -7.221718129211e+05, -9.201623155918e-06, -2.647292670612e+05, -2.647292670540e+05, -2.323808133005e-05, -9.348849126413e-16, -3.692483606281e-16, 0.000000000000e+00, 0.000000000000e+00
